product_id,title,description,category,brand,price,rating,num_reviews
P00028,Deluxe Books Product,High-quality books from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandE,117.91,3.1,646
P00029,Premium Electronics Widget,High-quality electronics from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandB,431.22,3.1,243
P00030,Deluxe Home Product,High-quality home from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandD,74.83,4.9,584
P00031,Deluxe Books Item,High-quality books from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandD,405.67,3.4,99
P00032,Essential Toys Item,High-quality toys from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandD,211.44,4.7,55
P00033,Premium Toys Item,High-quality toys from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandA,366.82,4.6,111
P00034,Deluxe Clothing Product,High-quality clothing from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandB,229.82,3.8,285
P00035,Premium Sports Item,High-quality sports from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandB,405.93,4.7,100
P00036,Premium Electronics Widget,High-quality electronics from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandE,463.92,4.7,170
P00037,Classic Sports Gadget,High-quality sports from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandD,433.68,4.8,168
P00038,Classic Sports Device,High-quality sports from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandA,463.99,4.6,292
P00039,Vintage Sports Tool,High-quality sports from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandE,248.47,3.4,222
P00040,Vintage Electronics Product,High-quality electronics from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandE,39.87,3.6,51
P00041,Modern Books Product,High-quality books from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandD,87.14,4.9,82
P00042,Modern Clothing Widget,High-quality clothing from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandA,340.85,3.5,122
P00043,Modern Books Product,High-quality books from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandB,29.47,3.2,673
P00044,Modern Books Device,High-quality books from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandE,468.01,3.4,733
P00045,Essential Home Item,High-quality home from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandB,74.13,4.3,468
P00046,Premium Home Item,High-quality home from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandA,314.37,4.1,102
P00047,Deluxe Electronics Product,High-quality electronics from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandE,139.95,4.9,902
P00048,Essential Electronics Device,High-quality electronics from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandB,87.3,4.7,720
P00049,Vintage Home Product,High-quality home from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandE,13.83,4.6,306
P00050,Deluxe Toys Device,High-quality toys from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandA,66.56,3.2,566
P00051,Essential Clothing Product,High-quality clothing from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandC,113.21,3.7,703
P00052,Modern Toys Item,High-quality toys from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandC,133.05,4.8,52
P00053,Essential Electronics Widget,High-quality electronics from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandD,11.74,4.5,652
P00054,Vintage Home Item,High-quality home from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandB,280.32,3.9,9
P00055,Vintage Electronics Gadget,High-quality electronics from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandA,277.34,4.7,596
P00056,Classic Books Gadget,High-quality books from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandB,30.5,3.7,955
P00057,Deluxe Electronics Tool,High-quality electronics from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandC,132.27,3.2,798
P00058,Modern Books Tool,High-quality books from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandD,85.73,4.9,885
P00059,Classic Clothing Widget,High-quality clothing from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandB,97.89,4.8,801
P00060,Essential Sports Gadget,High-quality sports from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandB,395.81,3.2,893
P00061,Deluxe Electronics Gadget,High-quality electronics from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandD,410.13,3.9,312
P00062,Premium Clothing Tool,High-quality clothing from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandB,104.63,3.7,885
P00063,Essential Electronics Tool,High-quality electronics from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandC,259.61,4.4,863
P00064,Premium Books Widget,High-quality books from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandC,439.75,3.5,594
P00065,Premium Home Product,High-quality home from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandA,222.94,4.5,321
P00066,Modern Sports Widget,High-quality sports from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandE,198.75,4.2,260
P00067,Premium Electronics Product,High-quality electronics from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandD,463.53,4.1,736
P00068,Essential Toys Item,High-quality toys from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandB,44.29,4.3,338
P00069,Vintage Books Widget,High-quality books from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandC,362.68,3.6,316
P00070,Essential Toys Item,High-quality toys from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandD,351.63,4.1,196
P00071,Vintage Sports Tool,High-quality sports from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandD,452.37,4.2,308
P00072,Premium Sports Device,High-quality sports from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandE,150.59,3.9,593
P00073,Classic Books Item,High-quality books from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandC,226.66,3.4,484
P00074,Vintage Toys Widget,High-quality toys from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandB,149.06,4.3,634
P00075,Deluxe Home Tool,High-quality home from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandA,162.11,4.6,150
P00076,Deluxe Electronics Item,High-quality electronics from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandA,309.52,4.5,466
P00077,Deluxe Sports Tool,High-quality sports from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandE,351.21,4.0,249
P00078,Premium Clothing Item,High-quality clothing from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandA,117.23,4.6,712
P00079,Premium Books Product,High-quality books from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandD,132.11,4.7,467
P00080,Vintage Clothing Product,High-quality clothing from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandD,494.07,4.2,972
P00081,Vintage Sports Product,High-quality sports from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandE,219.1,4.8,456
P00082,Classic Clothing Device,High-quality clothing from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandD,378.37,4.7,283
P00083,Vintage Books Gadget,High-quality books from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandD,144.55,3.2,292
P00084,Essential Clothing Device,High-quality clothing from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandC,447.58,3.2,154
P00085,Vintage Clothing Gadget,High-quality clothing from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandD,356.15,3.1,417
P00086,Classic Home Item,High-quality home from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandE,40.51,4.7,398
P00087,Modern Books Item,High-quality books from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandA,243.72,4.9,305
P00088,Modern Sports Tool,High-quality sports from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandD,369.97,4.6,919
P00089,Deluxe Clothing Device,High-quality clothing from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandD,223.56,3.1,344
P00090,Vintage Toys Gadget,High-quality toys from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandD,421.85,4.8,637
P00091,Classic Books Product,High-quality books from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandA,286.55,3.1,658
P00092,Classic Sports Gadget,High-quality sports from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandB,34.64,3.8,216
P00093,Essential Sports Item,High-quality sports from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandC,146.35,4.9,431
P00094,Classic Home Widget,High-quality home from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandA,377.02,3.1,974
P00095,Vintage Home Widget,High-quality home from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandB,392.8,4.3,772
P00096,Deluxe Electronics Widget,High-quality electronics from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandB,314.45,3.5,484
P00097,Modern Toys Gadget,High-quality toys from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandA,237.87,3.5,377
P00098,Modern Clothing Tool,High-quality clothing from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandE,362.0,4.6,167
P00099,Modern Home Widget,High-quality home from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandA,465.15,4.2,929
P00100,Vintage Sports Gadget,High-quality sports from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandD,47.24,4.4,642
P00101,Vintage Clothing Device,High-quality clothing from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandA,426.64,4.2,123
P00102,Essential Books Product,High-quality books from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandA,219.91,3.7,518
P00103,Premium Toys Item,High-quality toys from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandC,412.94,3.2,983
P00104,Vintage Home Gadget,High-quality home from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandD,223.39,4.5,988
P00105,Modern Toys Product,High-quality toys from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandC,389.57,3.9,845
P00106,Essential Toys Device,High-quality toys from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandE,427.34,4.7,88
P00107,Deluxe Home Item,High-quality home from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandD,289.23,4.3,344
P00108,Essential Electronics Gadget,High-quality electronics from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandD,248.9,3.7,264
P00109,Modern Home Tool,High-quality home from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandC,441.25,4.1,529
P00110,Deluxe Clothing Tool,High-quality clothing from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandA,209.15,4.1,246
P00111,Vintage Toys Tool,High-quality toys from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandD,250.5,4.6,95
P00112,Classic Home Tool,High-quality home from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandB,129.22,4.3,377
P00113,Modern Sports Device,High-quality sports from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandE,218.5,4.5,338
P00114,Essential Home Device,High-quality home from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandD,133.19,3.2,197
P00115,Vintage Home Product,High-quality home from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandA,475.93,4.4,196
P00116,Essential Clothing Tool,High-quality clothing from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandD,298.9,4.5,611
P00117,Deluxe Home Device,High-quality home from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandA,121.47,3.4,14
P00118,Deluxe Toys Device,High-quality toys from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandE,32.3,3.1,299
P00119,Vintage Toys Item,High-quality toys from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandB,60.27,3.0,291
P00120,Classic Sports Device,High-quality sports from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandD,100.34,3.1,963
P00121,Premium Sports Item,High-quality sports from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandA,250.96,4.2,702
P00122,Deluxe Electronics Product,High-quality electronics from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandB,475.07,3.2,254
P00123,Classic Electronics Product,High-quality electronics from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandE,302.1,4.2,794
P00124,Classic Books Item,High-quality books from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandD,155.7,4.2,439
P00125,Modern Home Widget,High-quality home from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandE,308.72,4.5,970
P00126,Essential Clothing Tool,High-quality clothing from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandB,49.78,3.5,565
P00127,Premium Electronics Item,High-quality electronics from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandB,230.75,4.2,298
P00128,Essential Electronics Tool,High-quality electronics from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandB,148.53,4.7,72
P00129,Essential Toys Tool,High-quality toys from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandB,299.0,4.6,202
P00130,Modern Sports Gadget,High-quality sports from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandA,327.34,4.8,846
P00131,Premium Clothing Gadget,High-quality clothing from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandA,398.39,4.2,844
P00132,Classic Books Widget,High-quality books from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandC,239.66,3.6,412
P00133,Modern Home Item,High-quality home from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandE,224.5,4.2,910
P00134,Modern Sports Device,High-quality sports from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandC,22.67,3.5,690
P00135,Premium Books Tool,High-quality books from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandE,412.5,4.2,781
P00136,Modern Clothing Tool,High-quality clothing from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandD,226.69,3.6,599
P00137,Premium Sports Item,High-quality sports from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandD,180.5,3.7,686
P00138,Essential Electronics Item,High-quality electronics from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandB,349.9,3.6,967
P00139,Premium Sports Item,High-quality sports from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandE,53.15,3.5,118
P00140,Premium Sports Tool,High-quality sports from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandE,435.99,3.9,55
P00141,Essential Clothing Product,High-quality clothing from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandE,380.66,4.3,778
P00142,Essential Electronics Product,High-quality electronics from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandB,74.2,3.6,901
P00143,Premium Toys Widget,High-quality toys from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandD,486.84,4.2,245
P00144,Essential Toys Product,High-quality toys from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandB,16.7,3.8,230
P00145,Premium Electronics Tool,High-quality electronics from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandD,417.75,4.0,733
P00146,Vintage Home Device,High-quality home from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandE,213.59,4.0,483
P00147,Modern Clothing Gadget,High-quality clothing from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandD,197.96,4.8,520
P00148,Premium Toys Device,High-quality toys from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandB,388.61,4.7,348
P00149,Premium Books Device,High-quality books from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandC,365.76,4.7,593
P00150,Deluxe Toys Item,High-quality toys from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandD,273.9,3.7,565
P00151,Classic Books Device,High-quality books from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandD,436.1,5.0,244
P00152,Deluxe Books Item,High-quality books from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandD,31.39,4.5,722
P00153,Vintage Sports Tool,High-quality sports from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandD,490.6,4.0,37
P00154,Modern Clothing Device,High-quality clothing from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandE,436.15,4.7,450
P00155,Classic Electronics Widget,High-quality electronics from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandE,364.0,3.8,670
P00156,Classic Clothing Device,High-quality clothing from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandA,175.9,4.4,665
P00157,Vintage Electronics Product,High-quality electronics from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandC,196.2,3.6,735
P00158,Premium Sports Product,High-quality sports from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandE,43.53,4.3,943
P00159,Vintage Home Widget,High-quality home from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandB,222.65,3.2,648
P00160,Classic Toys Gadget,High-quality toys from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandA,350.06,4.8,47
P00161,Essential Home Device,High-quality home from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandA,193.67,3.3,543
P00162,Vintage Sports Gadget,High-quality sports from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandE,93.29,3.2,891
P00163,Vintage Sports Gadget,High-quality sports from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandE,253.86,4.2,237
P00164,Classic Sports Device,High-quality sports from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandC,336.75,4.8,476
P00165,Deluxe Home Widget,High-quality home from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandE,226.45,3.7,601
P00166,Vintage Home Device,High-quality home from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandD,233.85,3.6,393
P00167,Deluxe Sports Item,High-quality sports from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandA,290.24,4.1,716
P00168,Vintage Home Item,High-quality home from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandA,144.5,4.1,702
P00169,Modern Toys Tool,High-quality toys from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandA,253.4,4.8,293
P00170,Essential Clothing Gadget,High-quality clothing from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandE,321.94,4.2,694
P00171,Vintage Toys Widget,High-quality toys from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandB,452.67,4.3,316
P00172,Modern Sports Device,High-quality sports from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandA,368.86,3.2,302
P00173,Deluxe Home Gadget,High-quality home from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandD,74.76,4.1,994
P00174,Modern Home Device,High-quality home from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandE,416.93,3.5,844
P00175,Vintage Sports Device,High-quality sports from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandC,404.07,3.9,77
P00176,Vintage Clothing Tool,High-quality clothing from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandB,340.46,3.8,866
P00177,Premium Books Item,High-quality books from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandC,16.82,4.1,465
P00178,Modern Home Item,High-quality home from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandC,412.98,4.9,110
P00179,Classic Toys Widget,High-quality toys from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandB,313.58,4.9,335
P00180,Vintage Books Widget,High-quality books from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandB,321.35,3.9,717
P00181,Premium Home Gadget,High-quality home from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandD,32.22,3.1,504
P00182,Deluxe Electronics Product,High-quality electronics from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandA,76.48,3.9,686
P00183,Classic Toys Product,High-quality toys from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandE,373.71,3.3,424
P00184,Classic Toys Product,High-quality toys from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandA,209.98,4.9,33
P00185,Deluxe Toys Item,High-quality toys from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandC,227.9,3.5,371
P00186,Modern Electronics Tool,High-quality electronics from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandC,185.75,3.8,194
P00187,Premium Electronics Tool,High-quality electronics from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandD,113.93,4.3,994
P00188,Essential Electronics Gadget,High-quality electronics from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandA,494.52,4.6,210
P00189,Deluxe Electronics Product,High-quality electronics from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandE,115.82,4.7,336
P00190,Premium Clothing Device,High-quality clothing from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandE,430.62,3.3,133
P00191,Deluxe Books Widget,High-quality books from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandC,333.92,3.1,15
P00192,Modern Home Device,High-quality home from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandB,17.73,3.5,129
P00193,Modern Toys Widget,High-quality toys from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandD,375.38,4.0,796
P00194,Modern Home Widget,High-quality home from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandE,231.48,3.4,629
P00195,Essential Electronics Item,High-quality electronics from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandE,325.24,3.1,490
P00196,Vintage Sports Widget,High-quality sports from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandD,250.23,4.8,75
P00197,Modern Electronics Gadget,High-quality electronics from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandC,42.18,3.6,648
P00198,Vintage Books Device,High-quality books from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandE,196.64,4.2,301
P00199,Modern Sports Item,High-quality sports from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandE,58.6,4.4,873
P00200,Vintage Toys Gadget,High-quality toys from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandE,220.73,4.8,423
P00201,Classic Home Item,High-quality home from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandD,367.51,3.6,320
